15um				
/Hugo/2014/07012014/Gate Freq swp a			Power=100dBm	
	0V		20V	
f	Amp	Phase	Amp	Phase
5281010000	-82.1895765	-127.574514	-82.1090375	-128.961969
5281020000	-81.8103181	-130.997171	-82.0134198	-130.104502
5281030000	-81.7594652	-124.970091	-82.4313166	-123.410731
5281040000	-82.8031894	-130.13842	-83.2431317	-130.513387
5281050000	-81.6937676	-124.133722	-82.9752758	-128.593779
5281060000	-82.8103111	-127.645084	-81.9350386	-121.566651
5281070000	-81.8223118	-134.441491	-82.6533235	-120.03724
5281080000	-82.1297215	-126.332251	-82.7745566	-118.653424
5281090000	-82.3566934	-127.364045	-82.0454546	-128.644847
5281100000	-82.7992886	-129.180437	-81.8155701	-123.03379
5281110000	-82.314904	-130.502051	-81.2877251	-131.511197
5281120000	-82.4946821	-130.833449	-82.2921749	-121.228542
5281130000	-82.0719687	-125.618825	-82.4682996	-122.236456
5281140000	-81.2432516	-124.544929	-83.4142652	-118.499891
5281150000	-81.7781944	-135.312987	-82.5532446	-120.555674
5281160000	-81.887056	-127.250617	-82.3159997	-123.325957
5281170000	-82.372245	-123.980981	-81.7939859	-116.889598
5281180000	-81.5775047	-125.214362	-82.1235474	-126.695156
5281190000	-82.0590445	-122.068812	-81.7824857	-123.859732
5281200000	-81.1628893	-126.699509	-83.2538082	-114.965795
5281210000	-81.546725	-126.9767	-82.1923651	-118.450696
5281220000	-81.8271604	-128.515856	-82.0493184	-126.375306
5281230000	-81.6173899	-121.606946	-82.3076057	-121.101714
5281240000	-81.8439781	-122.236297	-81.8561907	-123.096906
5281250000	-82.5689828	-123.02829	-81.9532722	-120.081073
5281260000	-82.3215985	-121.559906	-82.0421197	-115.087738
5281270000	-82.2901311	-121.241663	-81.0682984	-120.036813
5281280000	-81.039531	-126.478786	-82.1319722	-119.133775
5281290000	-81.7192113	-123.02556	-81.9806443	-123.47394
5281300000	-82.2679856	-127.907735	-81.7635012	-118.699642
5281310000	-82.0781094	-126.119257	-81.4585937	-116.124669
5281320000	-81.8560821	-122.018465	-80.3945715	-113.010154
5281330000	-81.9163518	-124.983913	-81.5705281	-119.288358
5281340000	-81.4294259	-122.646226	-82.3852114	-116.514377
5281350000	-81.6793986	-119.216321	-80.5240843	-116.798153
5281360000	-81.5825809	-117.714459	-81.7332265	-121.892378
